GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unit-testing-examples,com.waytoodanny.training.calculator.util,CalculatorUtil,5,0,0,0,1,0,1,0,1,0
unit-testing-examples,com.waytoodanny.training.calculator.util,CalculatorUtil.new HashMap() {...},35,0,0,0,6,0,1,0,1,0
unit-testing-examples,com.waytoodanny.training.students.repository,CompanyStudentRepositoryImpl,57,0,0,0,4,0,2,0,2,0
unit-testing-examples,com.waytoodanny.training.calculator.impl,TwoStackCalculator,264,0,32,0,52,0,25,0,9,0
unit-testing-examples,com.waytoodanny.training.calculator.operation,DivideOperation,9,0,0,0,3,0,3,0,3,0
unit-testing-examples,com.waytoodanny.training.calculator.operation,PlusOperation,9,0,0,0,3,0,3,0,3,0
unit-testing-examples,com.waytoodanny.training.calculator.operation,MinusOperation,9,0,0,0,3,0,3,0,3,0
unit-testing-examples,com.waytoodanny.training.calculator.operation,MultiplyOperation,9,0,0,0,3,0,3,0,3,0
unit-testing-examples,com.waytoodanny.training.students.domain,Student,123,0,16,0,4,0,15,0,7,0
unit-testing-examples,com.waytoodanny.training.students.domain.filters,PreLabSufficientMarkFilter,22,0,2,0,5,0,4,0,3,0
unit-testing-examples,com.waytoodanny.training.students.domain.filters,WithinLabSufficientMarkFilter,19,0,2,0,4,0,4,0,3,0
unit-testing-examples,com.waytoodanny.training.students.service,InterviewReadyStudentServiceImpl,58,0,2,0,17,0,6,0,5,0
unit-testing-examples,com.waytoodanny.training.students.service,InterviewReadyStudentServiceImpl.new HashSet() {...},22,0,0,0,4,0,1,0,1,0
